,채용시작일,채용마감일,기업,직무,근무위치,경력,고용형태,업무소개,자격조건,우대사항
0,상시 채용,상시 채용,클레슨,"서버/백엔드, 블록체인","서울 중구 청계천로 40, (다동) 14층",신입,정규직,"10년 경력의 업계 정상급 전문 개발진과 함께
WEB3 MUSIC PLATFORM 개발을 함께할 인재를 찾고 있습니다.
[WEB3 MUSIC PLATFORM]
- Web3를 기반으로 한 새로운 패러다임의 Music Streaming 플랫폼을 개발합니다
- Web3 기반 Musician을 위한 NFT Market을 개발 및 운영합니다
- 글로벌 음악 강의 플랫폼 최적화 및 Web3 기능 연계, 개선업무를 합니다
[WEB3 MUSIC PLATFORM 백엔드 개발]
- NodeJS 기반으로 백엔드 비지니스 로직을 개발하고 배포합니다.
- Smart Contract와 통신하여 블록체인 기반의 비지니스 로직을 개발하고 배포합니다
- 데이터성격에 맞게 MySql / MongoDB / Redis에 데이터를 적재하고 이용하는 코드를 작성합니다.
- 여러 백엔드 개발자들이 협업하기 좋은 코드로 지속적으로 리팩토링합니다.","- Node.js, express 기반의 백엔드 개발 경험이 있으신 분
- 정적 타입 언어를 사용했거나, TypeScript에 대한 이해가 있으신 분
- MySQL과 같은 관계형 데이터베이스를 사용하고 기본적인 테이블 설계를 해보신 분
- HTTP 통신에 대한 기본적인 이해, RESTful API에 대한 설계나 개발 경험이 있으신 분
- Function, Class, Instance, Object Literal 에 대해 기본적인 내용을 알고 있고, 상황에 따라 적절하게 사용하고 계신 분
- 기본적인 SQL 문법, JOIN, Subquery 등을 활용할 줄 아시는 분
- Git과 Github에 대한 기본적인 사용법을 알고 있고, 기본적인 Git의 브랜치 전략들을 사용하는데 무리가 없으신 분","우대 조건은 아래 조건을 모두 할 수 있는 분을 의미하진 않습니다.
이 중 일부라도 해당하는 분이시면 즐거운 마음으로 관련 대화를 나눠볼 수 있을것 같습니다.
우대 조건
- Nest.js를 사용해본 경험이 있으신 분
- Aws ECR, ECS, EC2, S3, CloudFront, RDS 를 활용한 서비스 구축 경험이 있으신 분
- Spring MVC와 같은 MVC Framework를 사용해본 경험이 있으신 분
- OOP에 대한 기본적인 이해도가 있으신 분 (객체의 역할 / 책임 / 협력등)
- Jest, supertest 등 테스트 프레임워크를 통해 테스트 코드 를 작성해오신 분
- BlockChain 관련 개발 경험이 있으신 분
- CI/CD 자동화에 경험이 있으신 분
- 인프라 엔지니어가 없으면, 본인이 직접 AWS 인프라 구성을 해서라도 문제를 해결해야 속이 시원하신 분
- 반복적으로 진행하는 수동적인 작업에 불편을 느껴 자동화를 진행해본 경험이 있으신 분
- 주어진 task를 완료하기 위해 수반되는 모든 일들(필요하다면 팀의 도움 요청, 커뮤니케이션 등)을 주도적으로 하는데 부담이 없이신 분
- 지식을 팀원과 공유하고 코드 리뷰 등을 통해 피드백 하는 것에 적극적이신 분
- 팀원들과 함께 일하면서 서로를 존중하고, 서로를 돕는 분위기를 만들어가는데 능숙하신 분"
1,2022-11-01 00:00,2022-11-30 23:59,인터엠디컴퍼니,"서버/백엔드, 프론트엔드, 웹 풀스택","서울 종로구 청계천로 71, 11층 (관철동, 계원빌딩)",2 ~ 12년,정규직,"인터엠디 서비스의 웹, 웹앱, 백오피스 개발 및 운영","Spring framework 기반의 Web 및 Backend 개발 경력 2년 이상
MySql 기반의 Data 설계 및 SQL 작성에 능숙하신 분
ajax, jQuery, JavaScript 활용 가능하신 분
Linux System 및 Web 서비스 구조에 대한 기본 지식을 보유하신 분
적극적이고 명확한 커뮤니케이션 능력이 있으신 분","하나 이상의 온라인 서비스 설계 및 구축, 운영까지 모두 경험하신 분
AWS 활용 및 서비스(S3, SES 등) 연동 경험이 있으신 분
ElasticSearch 기반 검색 서비스 구축 및 운영 경험이 있으신 분
온라인 서비스 보안에 대한 이해가 있으신 분"
2,상시 채용,상시 채용,쿼타랩,서버/백엔드,"대한민국 서울특별시 강남구 테헤란로 503, 하이브로빌딩 15층",경력 무관,정규직,"쿼타랩 소개
“전 세계가 여러 세대에 걸쳐 사용할 수 있는 비상장 금융 인프라를 만드는 것”

쿼타랩은 스타트업 및 투자사의 효율적인 증권 관리를 돕는 SaaS 스타트업입니다.

지난 40년 가까이 스타트업 및 투자 업계 내의 커뮤니케이션 업무는 수많은 종이 증서와 엑셀을 통해 비효율적으로 관리되고 있었습니다. 쿼타랩은 각자 분산되어 있는 데이터를 이어 업계 표준을 만들어 나감으로써 혁신적인 인프라를 구축해나가고 있으며, 스타트업 및 투자 생태계의 선순환과 경쟁력 강화에 기여하고 있습니다.

쿼타랩의 증권 관리 서비스 쿼타북은 토스, 샌드박스, 당근마켓, 스톤브릿지 등 4,200여 개 이상 (2022년 10월 기준)의 스타트업 및 투자사가 사용하고 있으며, 40조 원 이상의 투자 자산을 관리하고 있습니다.

우리는 위와 같은 비전을 향해, 자율과 책임이라는 문화를 기반으로 매일 새로운 도전을 하고 있습니다.
대한민국 금융 인프라의 새로운 역사를 함께 써나갈 최고의 동료를 기다리고 있습니다.


어떤 팀인가요?
프로덕트 팀은 실질적인 문제 해결을 빠른 속도로 실행하는 팀입니다. 최소 단위로 해결책을 찾아내고, 그 해결책을 고객의 기대에 맞춰 끊임없이 배포를 합니다. 그리고 매번 회고를 통해, 팀을 계속 발전시킬 수 있는 방법이나 문화를 탐구해나갑니다.


어떤 역할을 맡게 되나요?
백엔드 챕터의 일원이 되어 쿼타북 및 쿼타스페이스 서비스의 근간을 함께 만들어 나가게 됩니다. 끊임없이 변하는 비상장 증권의 데이터에 맞춰, 장기적으로는 표준 시스템을 만드는 데에 일조합니다.


합류하시면 함께 할 업무예요
증권 관리, 계약, 주주 관리, 투자 등의 비상장 금융 맥락이 가지고 있는 모든 문제를 해결하는 금융 플랫폼을 개발하고 운영합니다.
스타트업과 투자사가 사용하는 증권 관리 플랫폼인 쿼타북을 개발합니다. 쿼타북은 증권 관리, 계약, 주주 관리, 투자 등의 비상장 금융 플랫폼입니다.
스타트업과 투자사/보육기관을 연결하는 커뮤니케이션 서비스인 쿼타스페이스를 개발합니다. 쿼타스페이스는 증권을 넘어 모든 데이터와 커뮤니케이션을 아우를 수 있는 플랫폼입니다.","이런 분을 찾습니다!
2년 이상 또는 그에 준하는 벡엔드 서비스 개발 및 유지 관리 경험을 가지신 분
쿼타랩의 기술 스택에 이미 익숙하거나, 새로운 기술을 빠르게 배울 수 있는 역량과 의지가 있으신 분
팀워크를 중요시하고 팀 단위로 일을 진행하고 결과를 만들어 내시는 분","복잡한 도메인 로직을 가진 서비스 개발 경험이 있으신 분
코드 리뷰와 리팩토링으로 코드 퀄리티를 개선한 경험이 있으신 분
Layered Architecture에 대한 경험이 있으신 분
AWS, GCP 등 클라우드 플랫폼 사용 경험 및 SaaS에 대한 이해를 가지고 계신 분"
3,상시 채용,상시 채용,로민,"서버/백엔드, 프론트엔드, 웹 풀스택","서울 서초구 방배천로2길 10, (방배동) 7층",3 ~ 15년,정규직,"[로민 회사 소개]
로민(Lomin)은 컴퓨터비전 및 자연어처리 기술을 사용하여 실생활과 산업 전반의 여러 문제를 해결하고자 하는 기술 스타트업으로, 가장 최신의 인공지능 기술로 문서 데이터를 자동으로 이해하고 처리하는 솔루션을 개발하여 기업들의 디지털 혁신과 업무 자동화를 주도하고 있습니다.
로민의 문서 이해 플랫폼(Document Understanding Platform) 텍스트스코프 스튜디오(Textscope Studio)는 기존의 솔루션과는 차별화된 기술과 신뢰성으로 국민카드, 카카오뱅크, 신한은행, 흥국생명, 수출입은행, 국가기록원 등과 같은 다양한 기업 및 기관들에 공급되어, 고객의 문서 데이터 자산의 활용 가치를 높이고, 직원을 생산성을 향상시킬 수 있도록 돕고 있습니다..

[합류 후 담당하실 업무는요]
이번 채용으로 팀에 합류하시는 분은 Textscope의 서비스 개발 전반을 함께하시게 됩니다.
Textscope 웹기반 서비스를 설계하고 구현합니다.
자사 홈페이지 및 사내 서비스를 설계하고 구현합니다.
기술 데모용 웹사이트와 클라이언트를 개발합니다.
AI OCR 솔루션 Textscope의 On-premise / Cloud 제품의 프론트엔드 / 백엔드 개발을 담당합니다.
대용량 RESTful API를 처리할 수 있는 서버를 구축합니다.
딥러닝 기반 OCR 모델 serving을 위한 효율화 및 최적화를 담당합니다.
빌드 / 배포 자동화 파이프라인을 구축합니다.","[이런 분과 함께하고 싶어요]
웹개발 경력 3년 이상이거나 그에 준하는 역량을 보유하신 분을 찾습니다.
HTML5, CSS, Javascript(최소 ES5)에 대해 이해가 높으신 분을 찾습니다.
Angular, Vue, React 중 하나 이상 기본 지식을 보유하신 분을 찾습니다.
RESTful API에 대한 이해 및 개발 경험이 있는 분을 찾습니다.
데이터베이스를 사용한 프로젝트 경험이 있는 분을 찾습니다.
리눅스 개발 환경과 Git, Docker 등 기본적인 개발 도구 사용이 익숙한 분을 찾습니다.
각종 협업 도구에 익숙하고 새로운 툴을 사용하는데 적극적인 분을 찾습니다.
머신러닝, 딥러닝에 대한 흥미를 가진 분을 찾습니다.","대용량 트래픽 처리를 위한 시스템을 구성 및 운영해본 경험이 있는 분이면 좋습니다.
TDD 기반의 개발 경험이 있는 분이면 좋습니다.
딥러닝 모델을 다뤄본 경험이 있는 분이면 좋습니다.
AWS, GCP 등의 클라우드 기반 서비스 운영 경험이 있는 분이면 좋습니다.
빌드 / 테스트 / 배포 자동화 경험이 있는 분이면 좋습니다.
Microservices 아키텍처 기반의 시스템 개발 경험이 있는 분이면 좋습니다.
머신러닝을 적용한 프로젝트 경험이 있는 분이면 좋습니다."
4,상시 채용,상시 채용,로민,"웹 풀스택, 머신러닝, 인공지능(AI)","서울 서초구 방배천로2길 10, (방배동) 7층",경력 무관,정규직,"[로민 회사 소개]
로민(Lomin)은 컴퓨터비전 및 자연어처리 기술을 사용하여 실생활과 산업 전반의 여러 문제를 해결하고자 하는 기술 스타트업으로, 가장 최신의 인공지능 기술로 문서 데이터를 자동으로 이해하고 처리하는 솔루션을 개발하여 기업들의 디지털 혁신과 업무 자동화를 주도하고 있습니다.
로민의 문서 이해 플랫폼(Document Understanding Platform) 텍스트스코프 스튜디오(Textscope Studio)는 기존의 솔루션과는 차별화된 기술과 신뢰성으로 국민카드, 카카오뱅크, 신한은행, 흥국생명, 수출입은행, 국가기록원 등과 같은 다양한 기업 및 기관들에 공급되어, 고객의 문서 데이터 자산의 활용 가치를 높이고, 직원을 생산성을 향상시킬 수 있도록 돕고 있습니다.

[합류 후 담당하실 업무는요]
이번 채용으로 팀에 합류하시는 분은 다양한 상황(스마트폰 촬영/팩스 전송/스캔 등)에서 획득된 이미지에서 자유로운 형태와 배치를 가지는 텍스트를 인식하는 OCR 엔진의 성능을 개선하고, 양식이 다양한 비정형 문서 이미지에서 멀티모달 정보(텍스트의 transcription, 위치, 시각적 특징)를 기반으로 문서 구조 인식 및 텍스트 간의 관계를 예측하는 기술 개발, 문서 인식을 위한 다양한 전처리/후처리 알고리즘 개발 등을 담당하게 됩니다. 또한, 딥러닝 모델이 사용하는 메모리를 절감하고 처리속도를 향상 시키기 위해 모델 경량화 및 inference 전용 모델 변환하는 업무에도 참여합니다.
Textscope의 OCR 엔진 및 문서 인식 알고리즘을 개발합니다.
모델 serving을 위한 변환 및 최적화를 담당합니다.
지속적인 모델의 성능을 개선하고 관리합니다.","[이런 분과 함께하고 싶어요]
이공계(전공 무관) 학사 이상이신 분을 찾습니다.
머신러닝, 딥러닝에 대한 흥미가 있는 분을 찾습니다.
컴퓨터비전 및 딥러닝에 대한 지식, 논문을 읽고 구현할 수 있는 능력이 있는 분을 찾습니다.
처음 해보는 일도 당황하지 않고 침착하게 해결할 수 있는 문제해결 능력이 있는 분을 찾습니다.
리눅스 개발 환경과 Git, Docker 등 기본적인 개발 도구 사용이 익숙한 분을 찾습니다.
각종 협업 도구에 익숙하고 새로운 툴을 사용하는데 적극적인 분을 찾습니다.
새로운 지식에 대한 빠른 습득 능력이 있는 분을 찾습니다.","SW 개발 실무 경험이 있는 분이면 좋습니다.
Object Detection / Recognition / Segmentation 모델 개발 경험이 있는 분이면 좋습니다.
Multi modality(Image, Text 등) 기반 머신러닝 알고리즘 개발 경험이 있는 분이면 좋습니다.
머신러닝 관련 프로덕트 개발 경험이 있는 분이면 좋습니다.
모델 Inference 최적화 관련 개발 경험이 있는 분이면 좋습니다.
머신러닝 관련 대회 참가 경험이 있는 분이면 좋습니다.
머신러닝 관련 국제학술대회에 논문을 게재한 경험이 있는 분이면 좋습니다.
관련 분야 석사학위 이상을 소지하신 분이면 좋습니다."
5,상시 채용,상시 채용,쿼타랩,프론트엔드,"대한민국 서울특별시 강남구 테헤란로 503, 하이브로빌딩 15층",경력 무관,정규직,"쿼타랩 소개
“전 세계가 여러 세대에 걸쳐 사용할 수 있는 비상장 금융 인프라를 만드는 것”

쿼타랩은 스타트업 및 투자사의 효율적인 증권 관리를 돕는 SaaS 스타트업입니다.

지난 40년 가까이 스타트업 및 투자 업계 내의 커뮤니케이션 업무는 수많은 종이 증서와 엑셀을 통해 비효율적으로 관리되고 있었습니다. 쿼타랩은 각자 분산되어 있는 데이터를 이어 업계 표준을 만들어 나감으로써 혁신적인 인프라를 구축해나가고 있으며, 스타트업 및 투자 생태계의 선순환과 경쟁력 강화에 기여하고 있습니다.

쿼타랩의 증권 관리 서비스 쿼타북은 토스, 샌드박스, 당근마켓, 스톤브릿지 등 4,200여 개 이상 (2022년 10월 기준)의 스타트업 및 투자사가 사용하고 있으며, 40조 원 이상의 투자 자산을 관리하고 있습니다.

우리는 위와 같은 비전을 향해, 자율과 책임이라는 문화를 기반으로 매일 새로운 도전을 하고 있습니다.
대한민국 금융 인프라의 새로운 역사를 함께 써나갈 최고의 동료를 기다리고 있습니다.


어떤 팀인가요?
프로덕트 팀은 실질적인 문제 해결을 빠른 속도로 실행하는 팀입니다. 최소 단위로 해결책을 찾아내고, 그 해결책을 고객의 기대에 맞춰 끊임없이 배포를 합니다. 그리고 매번 회고를 통해, 팀을 계속 발전시킬 수 있는 방법이나 문화를 탐구해나갑니다.


어떤 역할을 맡게 되나요?
쿼타랩 프론트엔드 챕터는 다른 메이커 직군과의 긴밀한 커뮤니케이션을 통해, 스톡옵션이나 RSU, 펀드 관리와 같은 복잡한 비상장 증권/금융 데이터를 사용자들이 편하게 이해하고 관리할 수 있도록 최고의 UI/UX로 표현하는 역할을 담당하고 있습니다.
또한 사내 라이브러리 개발, 디자인 시스템 구축 등 DX를 향상시킬 수 있는 작업을 통해 프론트엔드 개발자들의 생산성을 높여, 모두가 10x 엔지니어가 될 수 있는 사내 인프라 구축에도 힘쓰고 있어요.


함께 할 팀원들이 궁금하시다면 아래 블로그 링크에서 알아보실 수 있어요.
🧑‍💻에반: https://evan-moon.github.io/
👨‍💻일론: https://jungpaeng.tistory.com/


합류하시면 함께 할 업무예요
증권 관리, 계약, 주주 관리, 투자 등의 비상장 금융 맥락이 가지고 있는 모든 문제를 해결하는 금융 플랫폼을 개발합니다.
개발자들의 생산성을 높일 수 있는 도구들을 만들고 DX를 개선하여 프론트엔드 챕터의 생산성 향상에 기여합니다.
프로덕트 디자이너들과 긴밀하게 협업하여 팀의 생산성을 높이기 위한 디자인 시스템 개발에 기여합니다.","이런 분을 찾습니다!
동료들과 함께 건강한 자극을 주고 받으며 함께 성장할 수 있으신 분
단순히 주어진 문제를 해결하는 것이 아닌, 주도적으로 문제를 발견하고 분석해서 솔루션을 제안할 수 있으신 분
자신이 작성한 코드의 의도를 명확하게 전달할 수 있으신 분
새로운 기술을 빠르게 배울 수 있는 역량과 의지가 있으신 분","자신의 하드스킬, 소프트스킬을 팀에 공유하고 좋은 영향력을 만들어 동료와 팀을 성장시키고 싶으신 분
복잡한 도메인을 개선할 수 있는 UI / UX를 구현하는 것에 관심이 있으신 분
개발자들의 생산성을 높일 수 있는 개발환경 개선 및 구축에 관심이 있으신 분
React의 Suspense, Concurrent mode와 같은 최신 기술을 적극적으로 사용하여 제품의 성능과 설계 패턴을 개선하는 것에 관심이 있으신 분
높은 트래픽 처리와 성능 개선을 위한 서비스 최적화 경험이 있으신 분"
6,상시 채용,상시 채용,쿼타랩,서버/백엔드,"대한민국 서울특별시 강남구 테헤란로 503, 하이브로빌딩 15층",5 ~ 10년,정규직,"쿼타랩 소개
“전 세계가 여러 세대에 걸쳐 사용할 수 있는 비상장 금융 인프라를 만드는 것”

쿼타랩은 스타트업 및 투자사의 효율적인 증권 관리를 돕는 SaaS 스타트업입니다.

지난 40년 가까이 스타트업 및 투자 업계 내의 커뮤니케이션 업무는 수많은 종이 증서와 엑셀을 통해 비효율적으로 관리되고 있었습니다. 쿼타랩은 각자 분산되어 있는 데이터를 이어 업계 표준을 만들어 나감으로써 혁신적인 인프라를 구축해나가고 있으며, 스타트업 및 투자 생태계의 선순환과 경쟁력 강화에 기여하고 있습니다.

쿼타랩의 증권 관리 서비스 쿼타북은 토스, 샌드박스, 당근마켓, 스톤브릿지 등 4,200여 개 이상 (2022년 10월 기준)의 스타트업 및 투자사가 사용하고 있으며, 40조 원 이상의 투자 자산을 관리하고 있습니다.

우리는 위와 같은 비전을 향해, 자율과 책임이라는 문화를 기반으로 매일 새로운 도전을 하고 있습니다.
대한민국 금융 인프라의 새로운 역사를 함께 써나갈 최고의 동료를 기다리고 있습니다.


어떤 팀인가요?
프로덕트 팀은 실질적인 문제 해결을 빠른 속도로 실행하는 팀입니다. 최소 단위로 해결책을 찾아내고, 그 해결책을 고객의 기대에 맞춰 끊임없이 배포를 합니다. 그리고 매번 회고를 통해, 팀을 계속 발전시킬 수 있는 방법이나 문화를 탐구해나갑니다.


어떤 역할을 맡게 되나요?
백엔드 챕터의 일원이 되어 쿼타북 및 쿼타스페이스 서비스의 근간을 함께 만들어 나가게 됩니다. 끊임없이 변하는 비상장 증권의 데이터에 맞춰, 장기적으로는 표준 시스템을 만드는 데에 일조합니다.


합류하시면 함께 할 업무예요
증권 관리, 계약, 주주 관리, 투자 등의 비상장 금융 맥락이 가지고 있는 모든 문제를 해결하는 금융 플랫폼을 개발하고 운영합니다.
스타트업과 투자사가 사용하는 증권 관리 플랫폼인 쿼타북을 개발합니다. 쿼타북은 증권 관리, 계약, 주주 관리, 투자 등의 비상장 금융 플랫폼입니다.
스타트업과 투자사/보육기관을 연결하는 커뮤니케이션 서비스인 쿼타스페이스를 개발합니다. 쿼타스페이스는 증권을 넘어 모든 데이터와 커뮤니케이션을 아우를 수 있는 플랫폼입니다.","이런 분을 찾습니다!
5년 이상 또는 그에 준하는 벡엔드 서비스 개발 및 유지 관리 경험을 가지신 분
SaaS 및 B2B 서비스에 대한 이해도가 있는 분
단순히 주어진 문제를 해결하는 것이 아닌, 주도적으로 문제를 발견하고 분석해서 솔루션을 제안할 수 있으신 분","복잡한 도메인 로직을 가진 서비스 개발 경험이 있으신 분
코드 리뷰와 리팩토링으로 코드 퀄리티를 개선한 경험이 있으신 분
Clean Architecture, Layered Architecture에 대한 경험이 있으신 분
AWS, GCP 등 클라우드 플랫폼 사용 경험 및 SaaS에 대한 이해를 가지고 계신 분
글로벌 서비스를 운영해본 경험이 있으신 분"
